size5,size50,size300
0.918,0.89,0.882
0.882,0.89,0.879
0.851,0.876,0.881
0.874,0.878,0.879
0.809,0.891,0.879
0.928,0.876,0.879
0.908,0.881,0.88
0.871,0.883,0.879
0.877,0.864,0.88
0.879,0.87,0.88
0.923,0.889,0.879
0.867,0.888,0.878
0.921,0.876,0.881
0.864,0.893,0.879
0.853,0.887,0.883
0.935,0.886,0.883
0.865,0.896,0.883
0.887,0.879,0.881
0.889,0.881,0.881
0.974,0.875,0.88
0.879,0.88,0.88
0.887,0.886,0.88
0.878,0.891,0.879
0.861,0.864,0.88
0.874,0.876,0.882
0.912,0.889,0.885
0.886,0.881,0.877
0.822,0.885,0.882
0.826,0.882,0.881
0.836,0.9,0.879
0.882,0.884,0.876
0.907,0.882,0.879
0.885,0.9,0.88
0.851,0.864,0.88
0.888,0.887,0.879
0.93,0.865,0.879
0.88,0.884,0.878
0.9,0.889,0.882
0.843,0.873,0.88
0.871,0.885,0.877
0.899,0.885,0.88
0.883,0.872,0.882
0.854,0.896,0.88
0.928,0.874,0.882
0.861,0.891,0.879
0.898,0.867,0.88
0.897,0.877,0.88
0.959,0.88,0.88
0.899,0.885,0.879
0.967,0.881,0.881
0.88636,0.88208,0.88008
